""	205
"a"	3072
"abandon"	1
"abandoned"	3
"abandonment"	1
"abandons"	1
"abaying"	1
"abdomen"	1
"abdomens"	1
"abelard"	1
"aberrying"	1
"abet"	1
"abetted"	1
"abide"	2
"ability"	4
"abject"	2
"able"	9
"ablowing"	1
"aboard"	1
"abode"	6
"abolished"	1
"abolition"	3
"abolitionists"	1
"aboriginal"	1
"aborigines"	2
"abounded"	1
"about"	169
"above"	41
"abovefor"	1
"abroad"	5
"abrupt"	1
"abruptly"	1
"abs"	1
"absence"	2
"absent"	3
"absentminded"	1
"absolute"	6
"absolutely"	8
"absorb"	1
"absorbed"	3
"absorbing"	1
"abstain"	2
"abstemiousness"	1
"abstinence"	1
"abstract"	2
"abstraction"	1
"abundance"	3
"abundant"	4
"abuse"	1
"abused"	1
"abutment"	1
"abuts"	1
"abutted"	1
"acanthus"	1
"accent"	3
"accented"	1
"accept"	5
"accepted"	3
"accepting"	1
"access"	12
"accessed"	1
"accessible"	2
"accident"	13
"accidental"	4
"accidentally"	2
"accompanied"	2
"accompanies"	1
"accompaniment"	2
"accompany"	1
"accomplish"	3
"accomplished"	7
"accomplishing"	1
"accomplishment"	1
"accordance"	2
"according"	17
"accordingly"	6
"account"	26
"accounted"	1
"accounts"	7
"accumulate"	2
"accumulated"	5
"accumulating"	2
"accuracy"	2
"accurately"	2
"accursed"	1
"accuse"	1
"accustomed"	9
"acheron"	1
"achestnutting"	1
"achillean"	1
"achilles"	3
"acid"	1
"acknowledged"	1
"acorn"	1
"acorns"	1
"acquaintance"	10
"acquaintances"	5
"acquainted"	11
"acquire"	5
"acquired"	7
"acquires"	2
"acquiring"	4
"acre"	7
"acres"	13
"across"	22
"acrosslot"	1
"act"	8
"acted"	2
"action"	6
"actions"	4
"active"	5
"activity"	2
"acton"	2
"actor"	1
"acts"	4
"actual"	6
"actually"	16
"actuated"	1
"acus"	1
"acuteness"	1
"ad"	2
"adam"	6
"adams"	1
"adapt"	1
"adapted"	4
"add"	6
"added"	3
"adding"	3
"addition"	4
"additional"	5
"additions"	1
"addito"	1
"address"	3
"addressed"	2
"addresses"	1
"adds"	6
"adelaide"	1
"adequate"	1
"adhere"	2
"adjacent"	2
"adjoining"	1
"adjunct"	1
"admetus"	1
"administrator"	1
"admirable"	9
"admirably"	1
"admiration"	1
"admire"	3
"admired"	4
"admiring"	2
"admit"	8
"admits"	1
"admittance"	1
"admitted"	2
"ado"	2
"adopt"	1
"adopted"	2
"adopting"	1
"adopts"	1
"adorn"	4
"adorned"	2
"adorns"	1
"adult"	1
"advance"	5
"advanced"	4
"advances"	1
"advantage"	17
"advantages"	8
"advantagesit"	1
"advantagesno"	1
"advent"	1
"adventure"	2
"adventurers"	1
"adventures"	5
"adventurous"	4
"adventurously"	2
"adversarys"	2
"advertised"	2
"advertisedthis"	1
"advertisement"	1
"advice"	5
"advices"	1
"advise"	4
"advised"	1
"aerial"	1
"afarfor"	1
"affair"	1
"affairs"	8
"affect"	6
